X,Y,osm_id,osm_type,completeness,amenity,healthcare,name,operator,source,speciality,operator_type,operational_status,opening_hours,beds,staff_doctors,staff_nurses,health_amenity_type,dispensing,wheelchair,emergency,insurance,water_source,electricity,is_in_health_area,is_in_health_zone,url,addr_housenumber,addr_street,addr_postcode,addr_city,changeset_id,changeset_version,changeset_timestamp,uuid
68.7586925206109,38.5643576973088,"5596923621",node,21.875,clinic,,Ташхис ва Тиб,,,,,,"Mo-Sa 08:00-16:00; Su 00:00-24:00",,,,,,,,,,,,,,"11",кӯчаи Раҳимӣ,"734012",,58686277,1,2018/05/04 17:30:15+00,0909f65ffe72448db6e915edd5aed674
68.7977443942296,38.5709213980459,"9704507711",node,12.5,pharmacy,pharmacy,Самсон Фарма,,,,,,,,,,,,,,,,,,,,,,,,164619486,2,2025/04/07 07:14:26+00,35ae623592c94d21b10eb98445483f3d
,,"106643082",way,9.375,hospital,,Клиникаи №5,,,,,,,,,,,,,,,,,,,,,,,,67600436,4,2019/02/26 23:39:05+00,9685bccbfee4416fbfc9087866e5d1b4
68.7538875946167,38.5810594775723,"6128060585",node,9.375,dentist,,Импладент,,,,,,,,,,,,,,,,,,,,,,,,65339468,1,2018/12/10 10:54:54+00,4fab7844bf0141e0a816b5fd0518ff15
,,"378297825",way,9.375,doctors,,Doctors Surgery,,,,,,,,,,,,,,,,,,,,,,,,36590885,2,2016/01/15 12:05:34+00,8c54350721a24056b3cb21cc0462b13d
,,"657763822",way,21.875,clinic,clinic,Инфекционная больница,,,,,,,,,,,,,,,,,,,,,5-й микрорайон,"735000",Турсунзаде,73993485,3,2019/09/02 09:49:39+00,dad16f1041f4486d99f218ba8393b64e
,,"220167791",way,15.625,hospital,hospital,Central Hospital,,bing,,,,,,,,,,,,,,,,,,,,,,121019089,3,2022/05/15 16:25:21+00,c1adc394fb174851823947337f89de74
70.8302623717674,38.4541919969664,"3957627602",node,6.25,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,36713531,1,2016/01/21 05:18:26+00,9e587f1cc229439082fac69ea211edc1
,,"727252488",way,12.5,hospital,hospital,Маркази саломатӣ Чоркуҳ Поликлиника,,,,,,,,,,,,,,,,,,,,,,,,74770701,1,2019/09/22 12:17:44+00,a32f2bd3b4bc49799bbf3a9cce1c33e4
,,"662878728",way,6.25,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,77876180,2,2019/12/03 12:25:38+00,3fec788cd6874bccbb074037d4e69d7f
68.9991817278758,39.957649442972,"6829493985",node,9.375,hospital,,,,,,,,24/7,,,,,,,,,,,,,,,,,,74990072,1,2019/09/27 06:08:37+00,f72d4fee9d0f451d830668c193151587
74.3502999417024,37.7250828455057,"3958145744",node,6.25,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,75390103,2,2019/10/07 18:38:03+00,f7aebcc19ee64861875ed33181d49a6c
,,"392624169",way,9.375,hospital,,Hospital,,,,,,,,,,,,,,,,,,,,,,,,157683690,2,2024/10/09 17:55:21+00,7c52d4af7e404637ab6363316ab600e8
