school_id,school_name,school_lon,school_lat,nearest_hospital_dist,nearest_clinic_dist,nearest_pharmacy_dist,nearest_any_facility_dist,nearest_facility_type,nearest_facility_name,hospitals_within_5km,clinics_within_5km,total_facilities_within_10km,weighted_access_score,access_risk_category
120,,74.3516259,37.7264137,2.0227925519711287,1.5109556664440067,0.5861032442137117,0.0018786535316462408,doctors,,0,0,1,14.793933189521336,High Risk
121,Мактаби 4,69.6215491,40.2813163,0.0009521317097875893,0.016504857398656342,0.0038411112006026217,0.0009521317097875893,hospital,Поликлинакаи ВКД,10,5,39,0.07524435687175435,Low Risk
122,Language centre Arkon,69.6153322,40.2999778,0.01845567300650414,0.0039458473573667175,0.0020671052682075266,0.0020671052682075266,pharmacy,Дорухона,10,5,37,0.09032495253557496,Low Risk
123,,71.9397436,38.1254994,0.0909955443506124,0.4144938814486375,0.41572657387157624,0.001144678488693387,doctors,,0,0,3,4.162073807215702,Medium Risk
124,56-maktab,69.2548425,40.5022107,0.3593036292660632,0.3691512454456476,0.364453227283676,0.3593036292660632,hospital,Поликлиника,0,0,0,3.6470436186009705,Medium Risk
125,СПТУ,69.3645151,40.1528412,0.0027668171594060166,0.008809821239102634,0.00976496008411213,0.0027668171594060166,hospital,,3,2,10,0.533852917666122,Medium Risk
140,Частная,69.3756268,40.1518914,0.009561430522904245,0.002457689187321003,0.001387994740922295,0.001387994740922295,pharmacy,,3,2,11,0.5320548957898383,Medium Risk
141,Школа 3,69.3766674,40.1522421,0.010641672896347267,0.0035485579939988866,0.0024267921557841595,0.0024267921557841595,pharmacy,,3,2,11,0.538858563581786,Medium Risk
142,,69.673396,40.1248564,0.06629208232308449,0.17806666540570198,0.14243582684632244,0.06629208232308449,hospital,Психодиспансер,0,0,1,1.2736082022900979,Medium Risk
143,Сш 8,69.6839246,40.1286371,0.05950792269131085,0.17651762400186288,0.14094826754372544,0.05950792269131085,hospital,Психодиспансер,0,0,1,1.2470076872209108,Medium Risk
144,,69.7305424,40.2203423,0.020668240675583156,0.11890747981693552,0.07042698340050829,0.020668240675583156,hospital,Районная больница,3,0,13,0.7087066914940866,Medium Risk
145,,71.5934253,37.9346453,0.029972570750870346,0.02996100603604168,0.030753527984831015,0.005934393920434444,doctors,,17,1,25,1.653507693188346,Medium Risk
146,Школа22,69.3508571,40.1476966,0.0043151111458970826,0.002013827194893148,0.0028521159698785387,0.002013827194893148,clinic,Санаторий Сарчашма,3,2,10,0.4890042624952055,Medium Risk
147,Школа 2 им. Макаренко,69.3587448,40.1514273,0.007451720326953179,0.009950097603864916,0.008359626898087329,0.007451720326953179,hospital,,3,2,10,0.5263224662288624,Medium Risk
148,,69.4199875,40.1835485,0.0017760992348210493,0.05673845260913408,0.05553506477351968,0.0017760992348210493,hospital,Поликлиника,1,0,12,0.8114378112549885,Medium Risk
149,,69.4644344,40.1511777,0.011065462863168573,0.040844892446591965,0.09014280720775453,0.011065462863168573,hospital,Физлечебница Гулакандоз,1,1,7,0.9763381484384297,Medium Risk
