name,name:en,amenity,building,operator:type,capacity:persons,addr:full,addr:city,source,name:tg,osm_id,osm_type,healthcare_distance_risk,healthcare_capacity_risk,road_condition_risk,infrastructure_age_risk,environmental_risk,nearest_overall_dist,nearest_facility_type,nearest_facility_name,facilities_within_5km,facilities_within_10km,emergency_access_score,composite_risk_score,risk_category,priority_rank,ccri_supplement_ready,analysis_date,country,facility_access_group
средняя школа 11 (А.С. Макаренко),,school,,,,,,,,4949216298,nodes,0.9999999999999999,1.0,0.9195928830795518,0.6849999999999999,0.37994681041705425,0.8081947430153602,hospital,,0.0,0.0,0.0,0.9016455612907406,High Risk,1.0,True,2025-06-17T13:08:11.477365,Tajikistan,
Мактаби байналмиллалӣ,International school,school,,,,,Душанбе,,,4746733021,nodes,0.008525996711775414,0.05913978494623651,0.06212078989807096,0.3895008917704346,0.12223750251535155,0.007195802718940377,hospital,Госпитали ҳарбӣ,63.0,175.0,0.8560839456211925,0.09487926220421922,Low Risk,235.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
Мактаби миёнаи мусулмони дар шаҳри Душанбе,Muslim secondary school in Dushanbe,school,,,,,,,,4785528688,nodes,0.0024004355208513796,0.989247311827957,0.022602812070470574,0.3808814933497372,0.11933623294033402,0.002247041575049173,hospital,"Бунгоҳи Саломати ""Чуянгарон""Ҷ.Д Чуянгарон Ш.Ваҳдат",2.0,2.0,0.9550591684990165,0.2674393534649843,Medium-Low Risk,216.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,,school,,,,,,,,10263476503,nodes,0.08338043614298417,0.456989247311828,0.8451418488939514,0.5969230769230769,0.3630255524163335,0.06766972988397839,hospital,Солим Мед (Solim Med),0.0,101.0,0.0,0.4395562034951761,Medium-Low Risk,141.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,3961184824,nodes,0.02178135816051799,0.9946236559139785,0.9419281933352318,0.6628571428571429,0.4666544392256877,0.01790463667573175,hospital,Беморхонаи вилоятии бемориҳои руҳӣ,1.0,1.0,0.641907266485365,0.5647915482626409,Medium-High Risk,55.0,True,2025-06-17T13:08:11.477365,Tajikistan,0-1
,,school,,,,,,,,3831017552,nodes,0.11012539267385806,0.989247311827957,1.0,0.72,0.4041132512151034,0.0892766321007339,hospital,"Медицинский центр Ага Хана, Хорог",0.0,2.0,0.0,0.6145990123621969,Medium-High Risk,15.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,,school,,,,,,,,3790146738,nodes,0.0773302102276439,0.956989247311828,0.8451418488939514,0.5969230769230769,0.42004682244535657,0.06278183112852037,hospital,"Медицинский центр Ага Хана, Хорог",0.0,8.0,0.0,0.5402896879262582,Medium-High Risk,77.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,3969728666,nodes,0.06622568980887147,0.956989247311828,0.9683244690919447,0.6866666666666668,0.592390720478846,0.053810633640298436,hospital,"Медицинский центр Ага Хана, Хорог",0.0,8.0,0.0,0.589277494192399,Medium-High Risk,24.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,3945547785,nodes,0.010480126095864477,0.8172043010752688,1.0,0.72,0.6132109931469042,0.008774518409585078,hospital,Инфекционная больница,32.0,34.0,0.8245096318082985,0.5557694540059516,Medium-High Risk,61.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
,,school,,,,,,,,3945547784,nodes,0.003967901348846829,0.010752688172043001,0.9683244690919447,0.6866666666666668,0.5830875578795716,0.0014053507249172507,pharmacy,,131.0,184.0,0.971892985501655,0.3777747982734697,Medium-Low Risk,160.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
Мактаби №3 ба номи Хасанов Д н.Нуробод,,school,,,,,,,,4768913859,nodes,0.09254352498177547,0.9838709677419355,0.9202865322126951,0.76,0.5163999864669736,0.07507247007219504,hospital,сельское  Амбулатория,0.0,3.0,0.0,0.5990560596685309,Medium-High Risk,20.0,True,2025-06-17T13:08:11.477365,Tajikistan,2-3
,,school,,,,,,,,3989473377,nodes,0.048316625101281596,0.4731182795698925,0.854985541116677,0.72,0.17957936576015887,0.039342133402366,hospital,Беморхонаи маркази №2,11.0,98.0,0.21315733195267994,0.44225982826660426,Medium-Low Risk,140.0,True,2025-06-17T13:08:11.477365,Tajikistan,6+
